type,subCity,price,bedRooms,rooms,floor,area,stype
Old,chugureti,137100,1,2,7,36,sale
New,samgori,126500,2,3,6,57,sale
New,saburtalo,270000,4,5,5,197,sale
Old,saburtalo,133100,2,3,3,57,sale
Old,saburtalo,267000,3,4,2,130,sale
New,saburtalo,620000,3,4,7,140,sale
New,saburtalo,529900,3,5,16,164,sale
New,gldani,154400,2,3,5,65,sale
New,saburtalo,466000,3,4,8,140,sale
New,saburtalo,218000,1,2,2,65,sale
New,saburtalo,367500,3,4,11,150,sale
New,saburtalo,176000,1,2,6,75,sale
New,vashlijvari,106000,2,3,6,75,sale
New,vashlijvari,151800,1,2,6,66,sale
New,vashlijvari,93000,2,3,7,61,sale
New,didube,180000,2,3,10,72,sale
New,saburtalo,426600,3,4,5,130,sale
New,saburtalo,226300,1,2,5,67,sale
New,ortachala,127800,1,2,1,50,sale
Old,saburtalo,292900,2,4,4,114,sale
Old,gldani,127800,2,3,5,90,sale
New,digomi,75900,1,2,2,41,sale
New,digomi,78500,1,2,3,43,sale
New,digomi,127800,1,3,7,73,sale
New,digomi,114500,2,3,3,60,sale
New,digomi,118000,2,3,3,67,sale
New,digomi,88400,2,3,3,52,sale
New,digomi,121200,2,3,3,68,sale
New,digomi,91900,1,2,3,52,sale
New,didube,97200,1,2,10,39,sale
New,saburtalo,386100,3,4,18,160,sale
New,saburtalo,151800,2,3,11,60,sale
Old,(i-v),101200,2,2,1,51,sale
New,vashlijvari,111800,1,2,12,52,sale
Old,mtatsminda,66600,1,2,2,32,sale
New,saburtalo,210400,1,3,3,85,sale
New,saburtalo,185100,2,3,3,67,sale
New,saburtalo,171700,2,3,2,68,sale
New,saburtalo,191700,1,2,14,56,sale
Old,mtatsminda,314200,2,4,2,98,sale
Old,sololaki,125100,1,2,1,42,sale
New,sanzona,106500,0,3,15,100,sale
New,vake,423400,2,5,3,150,sale
Old,isani,191700,2,3,3,80,sale
Old,saburtalo,149100,2,3,4,75,sale
New,saburtalo,303500,2,3,3,135,sale
New,saburtalo,186400,2,3,7,76,sale
New,saburtalo,266300,2,3,2,82,sale
New,didube,113200,2,3,9,85,sale
New,didube,119800,1,2,2,50,sale
New,samgori,125100,2,3,7,83,sale
New,saburtalo,279600,2,3,7,118,sale
Old,vake,260900,2,4,4,130,sale
New,ortachala,98500,1,2,1,52,sale
New,vazisubani,67600,1,2,12,51,sale
New,vake,300900,1,2,4,73,sale
New,didube,47900,0,1,8,20,sale
Old,gldani,114500,3,4,9,110,sale
New,didube,138500,2,3,7,60,sale
New,vake,345700,2,3,4,104,sale
Old,saburtalo,165000,1,2,3,62,sale
New,digomi,95900,1,2,5,55,sale
New,saburtalo,119800,2,3,8,67,sale
New,digomi,181100,2,3,12,100,sale
New,saburtalo,211200,3,4,3,103,sale
New,vake,270000,2,3,7,93,sale
New,vake,270000,1,2,6,67,sale
New,saburtalo,306200,2,3,2,85,sale
New,vake,187000,1,2,6,60,sale
Old,vake,265000,3,4,3,150,sale
New,digomi,90500,1,2,3,55,sale
New,digomi,113200,2,3,9,58,sale
New,digomi,140000,2,3,6,65,sale
New,digomi,94500,1,2,7,48,sale
Old,isani,130500,2,3,5,65,sale
New,saburtalo,90500,3,4,2,87,sale
New,saburtalo,101200,1,2,3,54,sale
New,didube,135000,1,2,7,50,sale
New,saburtalo,213000,1,2,6,68,sale
Old,ortachala,146400,2,3,2,70,sale
New,saburtalo,226300,1,2,3,62,sale
New,saburtalo,231700,1,2,12,87,sale
Old,saburtalo,231700,3,4,6,111,sale
New,didube,191700,2,3,7,79,sale
New,sanzona,95900,2,3,4,62,sale
New,digomi,87900,1,2,7,57,sale
New,digomi,81900,1,2,13,58,sale
New,digomi,77600,1,2,15,55,sale
Old,chugureti,98500,0,2,1,42,sale
Old,massive,133100,2,3,5,80,sale
New,digomi,62600,1,2,6,51,sale
Old,vera,242300,2,3,2,90,sale
Old,massive,151800,2,3,13,70,sale
New,digomi,90500,1,2,8,53,sale
New,digomi,111800,2,3,4,75,sale
New,digomi,87900,1,2,6,50,sale
New,didube,154400,2,3,6,78,sale
New,saburtalo,412700,2,3,5,120,sale
New,ortachala,186400,1,2,11,70,sale
New,digomi,306200,4,6,8,500,sale
New,saburtalo,205000,1,2,3,70,sale
New,saburtalo,156000,2,3,3,71,sale
Old,saburtalo,145000,1,2,14,60,sale
New,vake,292900,2,3,4,88,sale
Old,varketili,55900,1,1,2,38,sale
Old,varketili,82500,1,2,1,52,sale
New,saburtalo,202100,2,3,8,70,sale
New,saburtalo,332800,3,4,7,110,sale
Old,samgori,106500,0,3,2,100,sale
New,gldani,112500,2,3,14,65,sale
New,gldani,101400,1,2,10,68,sale
New,gldani,89500,2,3,16,60,sale
New,nadzaladevi,215700,3,5,3,143,sale
Old,saburtalo,253000,3,5,8,240,sale
New,vake,846700,4,5,3,212,sale
Old,saburtalo,199700,2,3,16,87,sale
New,digomi,87900,1,2,11,55,sale
New,digomi,79000,1,2,2,44,sale
New,varketili,73200,1,2,8,48,sale
New,vake,399400,3,5,2,140,sale
New,vake,274300,1,2,2,81,sale
New,varketili,53300,2,3,1,40,sale
New,vake,878700,3,5,7,221,sale
New,digomi,119700,2,3,5,70,sale
New,digomi,132000,3,4,7,71,sale
New,digomi,101000,1,2,4,54,sale
New,samgori,75900,2,3,2,70,sale
New,saburtalo,213000,2,3,2,77,sale
New,isani,186400,2,3,12,66,sale
New,digomi,137100,1,2,7,63,sale
Old,vera,101200,0,3,1,54,sale
New,saburtalo,128800,2,3,4,59,sale
New,didube,279600,3,4,9,110,sale
New,digomi,71800,1,2,10,60,sale
New,gldani,119800,2,3,3,65,sale
New,vake,116600,0,3,7,63,sale
New,vake,129500,0,3,5,70,sale
New,vake,148000,0,5,16,80,sale
New,saburtalo,313400,2,3,18,107,sale
New,vake,117600,3,3,5,80,sale
Old,saburtalo,207700,3,5,7,95,sale
New,vake,120300,1,2,5,65,sale
New,vake,132600,2,3,2,83,sale
New,vake,239600,2,3,9,120,sale
New,vake,123500,1,2,8,58,sale
New,vake,238600,3,4,7,128,sale
New,vake,143800,1,2,9,72,sale
New,digomi,101200,3,4,7,92,sale
New,digomi,97700,2,3,7,89,sale
Old,saburtalo,81300,1,1,6,38,sale
New,digomi,194400,2,3,5,107,sale
Old,gldani,71900,1,1,4,40,sale
New,vazisubani,71900,1,2,9,38,sale
New,didube,141100,2,3,4,59,sale
New,saburtalo,207000,2,3,8,90,sale
Old,temka,81200,1,2,4,50,sale
New,saburtalo,459800,3,5,9,157,sale
New,saburtalo,852100,3,4,15,156,sale
New,vake,270000,1,2,2,84,sale
New,digomi,169100,3,4,6,127,sale
New,digomi,135800,2,3,4,102,sale
New,digomi,144900,2,3,6,85,sale
Old,isani,146400,2,4,9,110,sale
New,saburtalo,452700,3,5,13,198,sale
New,vake,180000,1,2,7,62,sale
New,gldani,105200,2,3,9,79,sale
Old,vake,235200,2,3,9,96,sale
Old,isani,47900,1,1,6,32,sale
New,gldani,117200,1,2,7,53,sale
New,digomi,41900,2,2,2,42,sale
New,saburtalo,231000,1,2,5,70,sale
New,saburtalo,344500,2,3,16,103,sale
New,saburtalo,332800,2,3,4,100,sale
New,gldani,111800,1,2,11,53,sale
Old,samgori,173100,3,4,1,98,sale
New,digomi,173100,2,3,2,80,sale
New,digomi,138500,1,2,2,70,sale
New,saburtalo,239600,2,3,9,85,sale
Old,chugureti,53300,1,2,1,50,sale
Old,vake,372800,0,5,1,146,sale
New,avlabari,152300,2,3,11,64,sale
New,ortachala,245600,3,4,5,106,sale
Old,digomi,95900,1,3,8,50,sale
Old,digomi,95900,1,3,8,50,sale
New,vake,119800,0,2,5,60,sale
Old,vera,718900,4,6,3,263,sale
Old,chugureti,164300,2,3,1,55,sale
New,saburtalo,309500,1,2,9,75,sale
Old,vake,585800,4,5,8,220,sale
New,didube,145100,1,2,13,60,sale
Old,didube,173100,3,5,2,106,sale
New,saburtalo,665700,3,5,13,196,sale
New,saburtalo,399400,1,2,23,75,sale
New,saburtalo,412700,3,4,4,140,sale
New,vake,199700,1,2,6,57,sale
New,saburtalo,207700,1,2,3,75,sale
Old,vake,173100,2,3,7,95,sale
Old,didube,90500,1,2,2,50,sale
New,didube,192500,2,3,4,79,sale
Old,saburtalo,146400,2,3,2,55,sale
New,varketili,77200,2,3,2,75,sale
Old,vake,483500,2,4,4,227,sale
New,saburtalo,183700,1,2,4,60,sale
Old,gldani,132900,3,4,11,107,sale
New,vera,479300,2,3,7,93,sale
New,vake,165100,2,3,7,75,sale
New,saburtalo,87900,0,3,6,56,sale
New,saburtalo,191700,1,2,5,65,sale
New,avlabari,226300,2,3,3,70,sale
New,vake,205000,2,3,12,67,sale
New,vake,479300,3,4,8,165,sale
Old,didube,147800,2,3,7,103,sale
Old,saburtalo,106500,1,2,5,40,sale
New,saburtalo,253000,2,3,9,85,sale
Old,digomi,95900,1,2,2,64,sale
New,digomi,143800,2,3,9,80,sale
New,gldani,101200,1,2,12,50,sale
New,vake,479300,2,3,3,127,sale
New,saburtalo,269000,2,3,13,90,sale
Old,gldani,186400,3,3,3,87,sale
New,saburtalo,468600,3,5,5,220,sale
New,saburtalo,98000,1,2,1,61,sale
Old,chugureti,168000,2,3,1,55,sale
New,saburtalo,3e+05,2,3,8,105,sale
New,vake,514500,3,4,4,147,sale
Old,vazisubani,82500,2,3,5,65,sale
New,samgori,191700,2,3,7,80,sale
Old,saburtalo,350000,2,4,6,130,sale
New,vazisubani,239600,2,3,9,117,sale
Old,vazisubani,101200,2,3,9,95,sale
New,varketili,63900,3,4,5,58,sale
Old,didube,106500,1,2,2,62,sale
Old,vazisubani,106500,3,4,2,110,sale
New,varketili,65200,1,2,4,55,sale
New,vazisubani,106500,2,3,1,50,sale
New,vazisubani,57200,1,2,6,39,sale
Old,saburtalo,111800,1,2,12,50,sale
Old,saburtalo,111800,1,1,2,36,sale
Old,mukhiani,138500,3,4,2,90,sale
New,isani,240000,3,5,2,100,sale
New,ortachala,106000,1,2,3,51,sale
New,saburtalo,3e+05,2,4,4,134,sale
