type,subCity,price,bedRooms,rooms,floor,area,stype
New,nadzaladevi,86400,2,3,2,55,sale
New,saburtalo,151800,2,4,3,82,sale
New,vake,316000,0,2,5,87,sale
New,saburtalo,254000,2,3,15,100,sale
New,saburtalo,165100,1,2,10,58,sale
New,massive,125000,1,2,10,38,sale
New,ortachala,203700,2,3,3,90,sale
New,vera,202400,0,3,7,90,sale
Old,varketili,146400,3,4,4,93,sale
New,saburtalo,222600,1,2,1,103,sale
New,nadzaladevi,93200,0,2,7,65,sale
New,saburtalo,193100,1,1,13,71,sale
New,saburtalo,346200,2,4,5,130,sale
New,saburtalo,394000,2,3,8,110,sale
New,digomi,127800,2,3,3,80,sale
New,didube,126500,1,2,9,50,sale
New,saburtalo,139500,1,2,6,55,sale
Old,saburtalo,141100,2,3,6,80,sale
Old,saburtalo,257500,3,4,2,134,sale
New,didube,146400,1,2,10,60,sale
New,ortachala,149400,1,2,3,66,sale
Old,saburtalo,182400,2,3,3,86,sale
New,varketili,94500,2,3,7,63,sale
New,saburtalo,251900,2,3,15,92,sale
Old,saburtalo,206500,2,3,6,96,sale
Old,(i-v),181100,2,3,7,100,sale
New,saburtalo,228000,2,3,3,83,sale
Old,saburtalo,119800,1,2,3,80,sale
New,saburtalo,213000,2,3,2,98,sale
Old,avlabari,69200,1,2,1,25,sale
New,ortachala,186400,2,3,9,120,sale
New,ortachala,186400,1,2,12,62,sale
New,saburtalo,249400,1,2,18,64,sale
New,ortachala,186400,2,3,8,120,sale
Old,saburtalo,127800,1,2,6,40,sale
New,saburtalo,289600,2,3,9,108,sale
Old,temka,88500,2,3,2,64,sale
Old,(i-v),138500,2,3,6,96,sale
Old,saburtalo,167800,2,3,8,81,sale
New,saburtalo,289400,1,2,4,70,sale
Old,(i-v),143800,2,3,11,94,sale
New,didube,127800,0,2,11,50,sale
New,saburtalo,209900,2,3,12,80,sale
New,saburtalo,652500,5,6,9,340,sale
Old,saburtalo,221000,2,3,5,105,sale
New,saburtalo,291600,3,4,3,140,sale
New,saburtalo,332900,2,3,1,98,sale
New,saburtalo,230900,2,3,3,106,sale
New,saburtalo,451400,3,4,8,140,sale
Old,saburtalo,495900,5,7,6,270,sale
New,saburtalo,344400,3,4,2,130,sale
New,saburtalo,383800,3,4,5,175,sale
New,saburtalo,256200,2,3,3,100,sale
Old,saburtalo,610000,3,5,14,210,sale
New,saburtalo,244000,2,3,7,110,sale
Old,saburtalo,214700,2,3,2,100,sale
New,saburtalo,95200,1,2,7,58,sale
New,saburtalo,168400,2,3,5,78,sale
Old,saburtalo,390400,4,5,2,171,sale
New,saburtalo,352400,3,4,2,160,sale
New,saburtalo,427000,3,4,9,196,sale
New,saburtalo,295200,2,3,7,120,sale
New,saburtalo,295200,2,3,4,130,sale
New,saburtalo,261100,2,3,10,86,sale
Old,(i-v),102500,2,3,13,93,sale
Old,vake,189400,2,3,1,120,sale
Old,saburtalo,189400,2,3,2,112,sale
New,saburtalo,312400,3,4,6,125,sale
New,saburtalo,341600,2,3,4,130,sale
New,saburtalo,326300,2,3,17,100,sale
New,saburtalo,524600,4,5,9,220,sale
Old,saburtalo,141500,2,3,1,100,sale
Old,saburtalo,172200,1,2,2,100,sale
New,saburtalo,516600,3,4,9,180,sale
New,saburtalo,541200,4,5,9,220,sale
Old,saburtalo,300100,2,3,7,122,sale
Old,vake,231800,3,4,9,115,sale
New,saburtalo,275500,3,4,8,125,sale
Old,saburtalo,164800,2,3,4,70,sale
Old,vake,256200,2,3,1,100,sale
Old,saburtalo,219600,3,4,2,150,sale
Old,saburtalo,164800,2,3,8,90,sale
Old,saburtalo,184500,2,3,8,100,sale
Old,saburtalo,159900,2,3,2,73,sale
Old,saburtalo,209100,2,3,3,80,sale
Old,saburtalo,139000,2,3,8,65,sale
New,saburtalo,281800,2,3,10,79,sale
Old,saburtalo,175700,2,3,3,110,sale
Old,saburtalo,159900,3,4,4,90,sale
Old,saburtalo,164800,2,3,8,100,sale
Old,saburtalo,221400,3,4,4,128,sale
Old,saburtalo,295200,2,3,3,120,sale
New,saburtalo,132800,2,3,3,80,sale
New,saburtalo,1156200,7,8,5,570,sale
New,saburtalo,183800,2,3,2,115,sale
New,saburtalo,330800,3,4,3,183,sale
New,saburtalo,340200,3,4,4,140,sale
Old,saburtalo,214000,2,3,2,102,sale
Old,saburtalo,307500,3,4,1,156,sale
New,saburtalo,184500,1,2,2,87,sale
New,saburtalo,265700,2,3,6,110,sale
Old,vake,227900,3,4,5,135,sale
New,saburtalo,465500,4,7,8,250,sale
Old,vake,182300,2,3,1,120,sale
New,saburtalo,354800,3,4,5,128,sale
New,saburtalo,363600,3,4,3,130,sale
New,saburtalo,451400,2,3,10,180,sale
New,saburtalo,561200,4,5,2,200,sale
New,saburtalo,305000,2,3,2,125,sale
New,saburtalo,322100,3,4,3,180,sale
New,saburtalo,388800,3,4,5,128,sale
Old,saburtalo,205000,2,3,3,118,sale
New,saburtalo,280600,2,3,4,98,sale
Old,saburtalo,202500,3,4,6,110,sale
New,saburtalo,353800,2,3,3,78,sale
New,saburtalo,329400,3,4,5,160,sale
New,saburtalo,153700,1,2,3,72,sale
Old,saburtalo,183000,3,4,11,110,sale
New,saburtalo,163500,2,3,1,95,sale
Old,saburtalo,183000,2,3,8,88,sale
New,saburtalo,353800,3,4,4,131,sale
New,saburtalo,536800,3,4,16,164,sale
Old,saburtalo,151300,2,3,16,73,sale
Old,saburtalo,305000,4,5,8,155,sale
Old,saburtalo,244000,3,5,7,140,sale
New,saburtalo,231800,2,3,10,95,sale
New,saburtalo,292800,3,4,2,158,sale
Old,saburtalo,188700,2,3,7,108,sale
Old,saburtalo,200100,2,3,3,118,sale
New,saburtalo,135400,2,3,4,80,sale
New,saburtalo,353800,2,3,5,128,sale
Old,saburtalo,183000,2,3,4,103,sale
New,saburtalo,402600,3,4,13,138,sale
Old,saburtalo,180600,2,3,3,87,sale
New,saburtalo,439200,3,4,10,176,sale
New,saburtalo,366000,4,6,6,189,sale
New,saburtalo,171500,2,3,2,90,sale
New,saburtalo,226200,1,2,9,60,sale
New,vera,699300,3,4,8,243,sale
New,saburtalo,264200,1,2,5,60,sale
Old,saburtalo,151800,3,5,5,126,sale
Old,saburtalo,146400,2,3,14,78,sale
Old,saburtalo,187900,2,3,8,107,sale
New,saburtalo,207000,3,5,12,180,sale
Old,(i-v),173100,2,3,9,90,sale
Old,nadzaladevi,111800,2,3,14,63,sale
Old,gldani,122500,3,4,16,100,sale
New,saburtalo,127800,2,3,4,58,sale
Old,saburtalo,247600,3,4,6,105,sale
New,sanzona,87900,0,2,9,58,sale
Old,(i-v),133100,2,3,7,90,sale
New,nadzaladevi,133100,0,2,5,49,sale
New,saburtalo,136200,1,2,2,60,sale
New,avchala,123300,1,2,9,54,sale
Old,saburtalo,178400,0,4,2,95,sale
New,vashlijvari,59000,1,2,4,58,sale
Old,saburtalo,150000,2,3,14,77,sale
Old,(i-v),193000,2,3,6,90,sale
New,saburtalo,319500,2,4,6,175,sale
New,saburtalo,233300,1,2,14,62,sale
Old,(i-v),154400,2,3,3,90,sale
New,sanzona,77200,0,2,8,57,sale
New,sanzona,87900,2,3,7,66,sale
New,digomi,53600,1,2,4,50,sale
Old,saburtalo,134100,1,1,4,45,sale
Old,(i-v),119800,2,3,10,88,sale
Old,massive,111800,1,2,3,57,sale
New,saburtalo,58600,1,1,2,51,sale
New,saburtalo,287600,2,3,8,87,sale
New,saburtalo,429100,4,5,2,164,sale
New,vera,239600,2,3,5,90,sale
New,saburtalo,335500,1,2,16,60,sale
Old,(i-v),149100,2,3,8,87,sale
New,saburtalo,308400,2,3,15,128,sale
New,saburtalo,329900,2,3,5,130,sale
New,saburtalo,311100,2,3,9,75,sale
New,digomi,122500,2,3,2,76,sale
Old,saburtalo,213000,2,3,7,80,sale
Old,(i-v),186400,2,3,8,85,sale
New,saburtalo,171600,1,2,6,51,sale
New,(i-v),133100,2,3,4,60,sale
New,vake,225300,2,3,12,94,sale
Old,saburtalo,146400,2,3,2,85,sale
New,saburtalo,157700,1,2,4,52,sale
New,isani,111800,2,3,7,81,sale
New,ortachala,157000,2,3,9,77,sale
New,ortachala,108000,1,2,9,53,sale
New,ortachala,196000,2,3,7,96,sale
New,ortachala,136000,2,3,7,67,sale
New,ortachala,122500,1,2,10,60,sale
New,saburtalo,335200,2,3,3,120,sale
New,ortachala,111800,2,3,12,78,sale
New,(i-v),199700,2,3,9,85,sale
Old,saburtalo,142100,2,3,1,79,sale
New,avlabari,147000,1,1,4,62,sale
New,isani,117200,2,3,7,71,sale
New,(i-v),119800,2,3,3,68,sale
Old,sololaki,110500,1,2,1,31,sale
New,saburtalo,152900,2,3,3,62,sale
New,vake,878000,4,5,11,196,sale
New,sanzona,143800,2,3,7,76,sale
New,(i-v),162400,2,3,10,72,sale
New,(i-v),135800,1,2,10,60,sale
New,(i-v),130500,2,3,3,60,sale
New,massive,307000,3,4,3,95,sale
Old,saburtalo,90500,2,3,2,48,sale
New,digomi,133100,2,3,7,70,sale
Old,chugureti,199700,3,4,3,120,sale
New,didube,66600,2,3,8,57,sale
Old,vera,431400,2,4,3,102,sale
New,saburtalo,426000,2,3,6,140,sale
New,saburtalo,340800,2,3,12,98,sale
Old,saburtalo,117200,1,2,6,50,sale
New,digomi,125100,2,3,10,70,sale
Old,saburtalo,295000,2,3,2,125,sale
New,saburtalo,205000,0,2,3,58,sale
New,saburtalo,224700,2,3,4,97,sale
New,digomi,106500,2,3,6,60,sale
New,sanzona,85200,1,2,11,60,sale
New,saburtalo,179700,1,2,13,56,sale
Old,avlabari,49300,1,1,1,24,sale
New,saburtalo,154400,0,2,12,66,sale
Old,chugureti,266300,2,3,2,106,sale
Old,saburtalo,135000,1,2,2,70,sale
New,vake,199700,2,3,1,76,sale
Old,isani,101200,1,2,6,54,sale
New,ortachala,103800,0,2,6,62,sale
New,ortachala,127800,2,3,3,81,sale
New,saburtalo,297500,2,3,3,125,sale
Old,chugureti,79900,2,3,2,51,sale
New,saburtalo,255600,0,3,7,118,sale
Old,saburtalo,177000,2,3,8,90,sale
Old, (i-vii),87900,1,1,5,32,sale
New,saburtalo,334200,2,3,8,109,sale
New,saburtalo,279600,2,3,13,90,sale
New,didube,219700,2,3,7,90,sale
New,vake,459400,3,4,6,119,sale
New,chugureti,251600,2,3,2,105,sale
New,saburtalo,151800,1,2,3,60,sale
Old,saburtalo,175000,2,3,1,80,sale
Old,ლილო,103800,2,3,2,75,sale
New,saburtalo,270500,2,3,10,78,sale
New,vashlijvari,144500,2,3,7,107,sale
Old, (i-vii),98500,1,1,4,31,sale
New,vake,98500,0,2,2,35,sale
New,isani,135800,3,4,14,96,sale
New,didube,319500,3,4,12,137,sale
New,vake,479300,2,3,3,127,sale
Old,saburtalo,239600,2,3,3,90,sale
Old,ortachala,229000,3,4,4,140,sale
Old,vake,399400,2,3,3,163,sale
New,vake,798800,2,3,5,120,sale
New,saburtalo,102800,1,2,3,49,sale
New,saburtalo,167800,1,2,10,58,sale
Old,saburtalo,157100,1,2,1,57,sale
New,gldani,98500,2,3,16,61,sale
New,didube,260900,3,4,3,90,sale
Old,chugureti,284900,1,2,2,82,sale
Old,saburtalo,243400,3,4,9,135,sale
New,saburtalo,426000,3,8,5,250,sale
New,vera,207700,2,3,4,69,sale
Old,chugureti,194400,2,4,2,85,sale
Old,didube,222300,2,3,4,120,sale
New,nadzaladevi,111800,0,2,3,69,sale
New,nadzaladevi,111800,2,3,3,71,sale
New,digomi,110000,2,3,9,58,sale
New,saburtalo,279600,2,3,3,130,sale
New,saburtalo,153500,1,2,11,57,sale
New,didube,146400,2,3,2,72,sale
New,saburtalo,189000,1,2,7,66,sale
New,isani,135800,2,3,7,61,sale
Old,(i-v),958600,8,9,5,360,sale
New,saburtalo,519200,3,4,13,145,sale
New,gldani,173100,2,3,2,89,sale
Old,vera,124000,1,2,2,55,sale
New,saburtalo,165100,1,2,7,54,sale
New,didube,149100,0,2,7,58,sale
New,saburtalo,87900,1,2,13,30,sale
Old,gldani,146400,3,4,7,134,sale
New,ortachala,159800,0,2,8,72,sale
New,saburtalo,223700,3,4,4,123,sale
New,saburtalo,354100,2,3,5,120,sale
Old,gldani,133100,2,3,5,90,sale
New,didube,181100,2,3,3,83,sale
New,saburtalo,210400,2,3,8,83,sale
Old,chugureti,70000,1,1,2,30,sale
Old,saburtalo,492600,5,7,6,263,sale
New,vake,303500,3,4,3,109,sale
New,digomi,69500,1,2,14,58,sale
Old,massive,103000,1,2,4,50,sale
Old,ponichala,89000,3,5,7,96,sale
New,vera,607000,4,5,8,200,sale
New,didube,532500,4,5,15,230,sale
Old,massive,125100,1,2,1,86,sale
Old,saburtalo,111800,1,2,15,47,sale
New,saburtalo,372800,2,3,4,125,sale
New,saburtalo,338200,3,4,4,130,sale
Old,chugureti,263600,2,3,3,89,sale
New,vake,386100,3,4,4,135,sale
New,vake,332800,2,3,2,130,sale
New,saburtalo,213000,2,3,3,85,sale
New,vera,399400,2,3,1,140,sale
New,vera,439300,3,4,9,150,sale
Old,vake,159800,1,2,7,50,sale
Old,chugureti,127800,1,2,1,60,sale
New,vera,346200,2,3,2,120,sale
Old,saburtalo,183700,2,3,2,120,sale
Old,saburtalo,149100,1,2,4,81,sale
Old,saburtalo,122500,1,2,3,78,sale
Old,mtatsminda,452700,3,4,4,100,sale
Old,saburtalo,183700,3,4,4,90,sale
New,vashlijvari,70000,1,2,4,61,sale
New,saburtalo,146400,2,3,1,105,sale
Old,vake,319500,2,3,6,113,sale
New,vake,1997000,5,9,10,420,sale
New,vake,378100,2,3,7,129,sale
New,saburtalo,183700,1,2,2,60,sale
New,massive,103800,1,2,3,51,sale
New,didube,186400,2,3,3,90,sale
New,digomi,137000,2,3,10,77,sale
New,saburtalo,226300,1,2,10,55,sale
New,saburtalo,319500,2,3,3,125,sale
New,saburtalo,237000,2,3,7,149,sale
Old,saburtalo,151800,1,2,3,56,sale
New,vake,247600,2,3,4,86,sale
Old,saburtalo,231700,2,3,8,82,sale
New,mtatsminda,346200,4,5,2,175,sale
New,varketili,69200,1,2,1,45,sale
Old,mtatsminda,335500,2,3,1,84,sale
New,vake,479300,2,3,3,127,sale
New,vake,263600,3,4,5,135,sale
Old,vera,466000,4,5,8,199,sale
New,saburtalo,545900,4,5,6,167,sale
New,saburtalo,159800,1,2,9,50,sale
New,saburtalo,852100,3,5,4,240,sale
New,saburtalo,231700,3,4,4,123,sale
Old,didube,239600,3,4,6,120,sale
Old,gldani,74600,2,2,8,50,sale
Old,chugureti,1e+06,5,9,2,250,sale
New,saburtalo,173100,2,3,3,81,sale
New,chugureti,372800,3,4,2,132,sale
Old,saburtalo,386100,3,5,3,160,sale
Old,saburtalo,311000,2,3,1,106,sale
Old,didube,146400,1,2,2,68,sale
New,sanzona,85200,1,2,10,57,sale
New,massive,52700,1,2,5,42,sale
Old,vazisubani,79000,1,2,3,51,sale
New,saburtalo,392000,2,3,12,149,sale
New,saburtalo,432000,2,3,7,120,sale
New,(i-v),218300,1,2,3,86,sale
Old,sololaki,226300,2,3,2,80,sale
New,vake,181000,1,2,3,65,sale
Old,saburtalo,130500,1,2,8,64,sale
New,avlabari,203800,1,2,8,65,sale
New,saburtalo,481000,2,3,8,131,sale
Old,chugureti,75900,1,2,1,50,sale
Old,avlabari,86500,2,3,2,64,sale
New,isani,238300,3,4,2,107,sale
New,saburtalo,1051800,4,5,16,245,sale
Old,vake,319500,3,4,2,128,sale
Old,chugureti,98500,1,2,2,45,sale
Old,(i-v),123800,1,2,6,75,sale
New,nadzaladevi,165100,2,3,3,80,sale
Old,saburtalo,140600,1,2,6,52,sale
Old,nadzaladevi,146400,2,3,5,90,sale
Old,saburtalo,248800,2,3,8,92,sale
New,vake,377700,3,5,3,176,sale
New,vera,364100,2,3,5,81,sale
New,saburtalo,246300,2,3,15,92,sale
New,saburtalo,256900,1,2,18,64,sale
New,isani,170400,2,3,10,80,sale
New,saburtalo,208200,1,2,4,60,sale
Old,vera,386100,3,4,2,123,sale
New,vake,215000,2,3,5,85,sale
New,vake,203700,2,3,2,90,sale
New,vake,292900,2,3,6,125,sale
New,vake,182100,2,3,3,72,sale
New,vake,359500,3,4,5,140,sale
New,saburtalo,119800,1,2,3,50,sale
New,vake,122500,1,2,5,55,sale
Old,sanzona,101200,2,3,2,80,sale
Old,saburtalo,532800,4,7,5,250,sale
Old,saburtalo,150000,1,2,15,81,sale
New,vake,401300,2,3,2,137,sale
New,saburtalo,249200,2,3,15,92,sale
Old,saburtalo,159800,2,3,1,85,sale
Old,sololaki,958600,4,5,2,300,sale
New,saburtalo,173100,1,2,4,55,sale
Old,saburtalo,149100,1,2,4,81,sale
New,vake,213000,2,3,5,110,sale
New,vake,479300,2,3,7,130,sale
Old,chugureti,292900,3,4,3,105,sale
Old,vera,412700,2,4,2,120,sale
New,ortachala,479300,2,3,2,137,sale
Old,saburtalo,199700,2,3,12,90,sale
New,vake,452700,2,3,5,160,sale
New,vake,237000,1,2,8,80,sale
Old,saburtalo,101200,1,1,7,38,sale
New,saburtalo,319500,3,4,15,143,sale
New,didube,346200,3,4,7,173,sale
New,vake,202400,1,2,5,85,sale
Old,sololaki,585000,3,5,4,150,sale
New,chugureti,253000,2,3,3,97,sale
New,saburtalo,293500,2,3,1,91,sale
New,vake,6e+05,3,5,10,200,sale
New,vake,431800,3,4,8,138,sale
New,vera,612000,3,5,4,160,sale
New,saburtalo,294800,2,3,3,103,sale
New,mtatsminda,1219600,4,7,4,380,sale
Old,chugureti,496000,3,4,1,102,sale
New,saburtalo,445400,3,4,3,145,sale
Old,mtatsminda,607500,3,5,3,150,sale
New,vake,7e+05,4,5,3,350,sale
Old,saburtalo,320000,3,5,9,160,sale
Old,saburtalo,143000,2,3,1,59,sale
New,saburtalo,297500,2,3,5,112,sale
New,digomi,146400,0,3,11,69,sale
New, (i-vii),173100,2,3,3,65,sale
Old,saburtalo,79900,1,1,5,30,sale
New,saburtalo,287600,3,4,12,120,sale
Old,temka,65200,2,3,2,68,sale
New,saburtalo,87900,2,3,2,48,sale
New,nadzaladevi,151800,3,4,2,100,sale
New,gldani,95900,1,2,5,72,sale
New,gldani,71900,1,2,4,54,sale
New,didube,120800,2,3,4,81,sale
Old,vazisubani,109200,3,4,11,100,sale
Old,chugureti,231400,1,2,4,89,sale
Old,saburtalo,223000,2,8,2,90,sale
New,saburtalo,154200,1,2,8,44,sale
New,saburtalo,632700,6,8,5,218,sale
New,saburtalo,42600,1,1,1,22,sale
New,saburtalo,279600,3,4,12,100,sale
New,isani,149100,1,2,6,56,sale
New,massive,133100,2,3,13,80,sale
New,saburtalo,125100,1,2,2,50,sale
New,saburtalo,346200,2,3,2,120,sale
New,vera,504000,3,4,5,180,sale
New,saburtalo,279600,2,3,5,106,sale
New,digomi,69200,1,2,11,50,sale
Old,vake,466000,3,4,5,175,sale
Old,saburtalo,191700,2,3,4,98,sale
Old,didube,151800,2,3,13,70,sale
New,saburtalo,199700,1,2,11,55,sale
Old,vake,199700,2,3,5,90,sale
New, (i-vii),54600,1,2,2,54,sale
New,saburtalo,141100,1,2,14,47,sale
Old,saburtalo,372800,4,5,5,160,sale
New,ortachala,159800,1,2,10,51,sale
Old,sololaki,159800,1,2,1,48,sale
Old,vake,454400,3,4,2,175,sale
Old,avlabari,85200,2,3,2,64,sale
New,isani,238300,3,4,2,106,sale
New,ortachala,346200,2,3,6,85,sale
Old,(i-v),149100,2,3,15,83,sale
New,varketili,61200,1,1,5,34,sale
Old,varketili,133100,3,4,7,83,sale
New,saburtalo,172000,1,2,11,68,sale
New,saburtalo,332800,2,3,5,120,sale
New,saburtalo,151800,1,2,1,75,sale
Old,massive,159800,2,3,2,100,sale
New,digomi,57500,1,2,3,32,sale
Old,didube,68000,1,1,1,45,sale
Old,vera,612400,4,5,8,193,sale
New,digomi,159800,2,3,4,81,sale
Old,saburtalo,218300,3,4,2,80,sale
New,digomi,122500,2,3,3,63,sale
Old,digomi,186400,3,5,8,104,sale
New,digomi,199700,2,3,5,107,sale
New,digomi,175700,1,3,7,70,sale
New,digomi,141100,2,3,5,70,sale
New,digomi,165100,2,3,7,59,sale
Old,digomi,189100,3,4,3,100,sale
New,didube,127800,1,2,9,50,sale
Old,digomi,178400,3,4,2,102,sale
Old,ლილო,74600,2,3,9,68,sale
New,digomi,151800,2,3,8,61,sale
Old,didube,131800,2,3,7,75,sale
Old,varketili,85200,1,2,7,78,sale
Old,varketili,98500,2,3,2,88,sale
Old,varketili,102500,3,4,14,107,sale
Old,varketili,119800,2,3,3,75,sale
New,(i-v),191700,2,3,10,80,sale
Old, (i-vii),146400,2,3,8,80,sale
New,vake,566500,0,6,5,185,sale
Old, (i-vii),146400,2,3,8,80,sale
New,digomi,62500,2,2,3,50,sale
Old,vera,246800,3,4,3,95,sale
New,saburtalo,207700,1,2,2,62,sale
Old,saburtalo,359500,3,9,1,227,sale
Old,ortachala,125100,1,2,5,62,sale
New,vake,319500,3,4,13,150,sale
New,sanzona,106500,2,3,11,99,sale
New,sanzona,106500,2,3,15,99,sale
New,varketili,79900,2,3,16,58,sale
Old, (i-vii),146400,2,3,8,80,sale
Old,saburtalo,119800,1,2,6,60,sale
Old,saburtalo,98500,1,2,17,50,sale
New,digomi,155800,2,3,5,78,sale
New,saburtalo,412700,3,4,3,130,sale
New,saburtalo,159800,2,3,5,71,sale
New,saburtalo,287600,2,3,1,91,sale
New,saburtalo,338200,2,3,1,100,sale
New,digomi,149100,2,3,3,80,sale
New,avlabari,346200,4,5,12,118,sale
New,vake,316900,2,3,13,120,sale
New,saburtalo,466000,2,4,6,115,sale
New,saburtalo,745600,3,5,12,180,sale
New,avlabari,426000,3,4,4,155,sale
Old,chugureti,239600,1,3,4,65,sale
New,saburtalo,253000,2,3,11,97,sale
New,didube,140600,1,2,7,48,sale
Old,gldani,75900,0,1,6,50,sale
Old,ponichala,110500,3,4,6,85,sale
New,ortachala,255600,3,4,10,136,sale
Old,vake,231000,1,2,2,92,sale
New,massive,253000,2,3,3,95,sale
Old,chugureti,120600,1,2,2,70,sale
New,vake,328000,3,4,4,88,sale
Old,sololaki,98500,1,2,2,55,sale
New,vake,359500,2,3,16,88,sale
New,vake,279600,2,3,3,100,sale
New,vera,240700,2,3,6,75,sale
Old,vake,292900,2,3,7,100,sale
New,vake,397200,2,3,8,127,sale
Old,vake,457400,3,5,2,180,sale
New,sololaki,842500,2,4,2,137,sale
New,vera,332800,3,4,3,128,sale
Old,mtatsminda,239600,2,3,1,120,sale
New,mtatsminda,1440500,4,5,9,272,sale
New,vake,469400,3,4,10,155,sale
New,vake,221000,2,3,2,75,sale
New,saburtalo,336600,2,3,10,100,sale
New,saburtalo,191000,2,3,7,72,sale
New,saburtalo,325000,2,3,13,103,sale
Old,saburtalo,207700,2,3,3,100,sale
New,vake,475300,0,10,6,210,sale
Old,vake,532500,3,4,8,177,sale
New,vake,332800,3,4,8,127,sale
New,vake,460600,2,3,11,93,sale
New,vake,718900,2,3,15,138,sale
New,saburtalo,466000,4,5,9,196,sale
New,saburtalo,585800,4,5,2,200,sale
New,vake,417500,2,3,8,112,sale
New,saburtalo,306200,3,4,11,114,sale
New,nadzaladevi,178400,2,4,8,73,sale
New,saburtalo,426000,3,4,5,160,sale
New,saburtalo,346200,2,3,16,103,sale
New,vake,931900,4,5,9,205,sale
Old,saburtalo,213000,2,3,2,120,sale
New,saburtalo,439300,3,4,1,140,sale
Old,didube,146400,2,3,2,107,sale
New,avlabari,458000,3,6,11,140,sale
New,vake,772200,3,4,3,170,sale
New,vake,1038500,3,5,6,217,sale
New,vake,324800,3,4,9,152,sale
New,vake,245000,3,4,2,129,sale
New,vake,931900,3,4,6,184,sale
New,saburtalo,378100,3,4,11,142,sale
Old,didube,154400,1,2,2,70,sale
New,vake,346200,2,3,4,104,sale
New,vake,205000,1,2,14,50,sale
New,vake,479300,3,4,5,137,sale
New,saburtalo,319500,2,3,6,95,sale
New,vake,812100,4,5,7,263,sale
New,saburtalo,319500,2,3,19,108,sale
New,vake,412700,3,4,7,140,sale
New,saburtalo,239600,3,4,6,103,sale
New,saburtalo,205000,2,3,7,86,sale
New,saburtalo,266300,2,3,5,91,sale
New,saburtalo,178400,2,3,4,79,sale
New,isani,3e+05,2,3,9,100,sale
New,saburtalo,349000,2,3,3,124,sale
New,vake,433300,3,4,2,136,sale
New,saburtalo,529600,3,4,6,175,sale
New,didube,274400,3,4,9,140,sale
New,saburtalo,469400,4,5,3,200,sale
New,saburtalo,297000,3,4,2,125,sale
New,saburtalo,335000,5,8,15,248,sale
Old,vake,283500,2,3,12,116,sale
New,saburtalo,283500,2,3,3,107,sale
New,vake,305000,2,3,4,105,sale
New,saburtalo,472000,2,4,8,132,sale
Old,saburtalo,146400,1,2,3,80,sale
New,saburtalo,431400,3,4,4,175,sale
New,saburtalo,159800,1,2,9,50,sale
New,saburtalo,331000,4,5,3,180,sale
New,saburtalo,183000,1,2,11,70,sale
New,saburtalo,203300,2,3,11,80,sale
New,vake,509000,3,4,4,130,sale
New,saburtalo,412700,3,4,5,155,sale
New,vashlijvari,133100,2,3,9,105,sale
New,ortachala,295000,3,4,8,240,sale
New,vera,267000,2,3,5,92,sale
New,saburtalo,160000,1,2,16,52,sale
New,saburtalo,390000,4,5,3,160,sale
New,saburtalo,273000,1,2,14,90,sale
New,sololaki,416000,2,3,2,88,sale
New,saburtalo,312000,3,4,4,160,sale
New,saburtalo,341500,2,3,10,100,sale
New,saburtalo,350000,3,4,10,170,sale
Old,saburtalo,235000,3,4,6,130,sale
New,avlabari,433000,2,3,15,147,sale
Old,saburtalo,266300,3,4,2,150,sale
New,vera,237000,1,2,7,70,sale
New,saburtalo,545900,4,5,6,167,sale
New,vake,798800,2,3,5,120,sale
New,vake,1051800,4,5,3,192,sale
New,vake,223700,1,2,5,64,sale
New,vake,931900,4,6,5,200,sale
Old,vake,263600,3,4,5,135,sale
New,avlabari,452700,3,6,11,140,sale
New,didube,133100,1,2,11,50,sale
Old,vake,1331400,4,8,1,300,sale
Old,saburtalo,119800,1,2,3,78,sale
New,saburtalo,292900,1,2,17,83,sale
New,saburtalo,479300,4,5,6,164,sale
New,saburtalo,359500,2,3,5,130,sale
New,saburtalo,231700,3,4,4,123,sale
Old,saburtalo,255600,3,4,9,132,sale
New,saburtalo,852100,3,5,4,240,sale
New,saburtalo,213000,2,3,3,81,sale
New,mtatsminda,490000,3,4,3,136,sale
New,vake,266300,2,3,2,99,sale
New,vake,242000,2,3,2,80,sale
New,vake,253000,2,3,8,80,sale
Old,saburtalo,127800,1,2,1,65,sale
New,vera,466000,4,5,8,199,sale
New,vake,399400,3,5,4,170,sale
Old,kharfukhi,335500,2,3,1,84,sale
New,nadzaladevi,213000,2,3,8,90,sale
New,vake,479300,2,3,3,127,sale
Old,saburtalo,253000,3,4,9,147,sale
New,vake,399400,2,3,4,86,sale
New,vake,559200,2,3,3,100,sale
New,vera,306200,2,3,9,78,sale
New,vazisubani,133100,2,3,2,86,sale
New,vera,576000,3,4,5,187,sale
New,vake,346200,2,3,4,103,sale
New,vake,409200,2,3,5,75,sale
New,vera,263600,1,2,5,66,sale
New,mtatsminda,842500,3,4,6,167,sale
New,vera,649900,3,4,8,250,sale
Old,vake,312900,2,3,5,110,sale
Old,vake,722200,5,7,8,350,sale
New,mtatsminda,532500,2,3,3,120,sale
New,vake,440900,2,3,16,138,sale
Old,avlabari,866600,2,4,1,270,sale
New,vake,180500,1,2,10,68,sale
Old,sololaki,445300,2,4,2,95,sale
New,chugureti,343000,2,4,2,132,sale
New,vake,990900,4,6,7,358,sale
Old,vera,412700,3,4,4,150,sale
New,vake,332800,3,4,4,109,sale
Old,vera,412700,2,3,7,124,sale
